id;libelle
1;Abyssin
2;American Bobtail
3;American Curl
4;American Shorthair
5;American Wirehair
6;Angora Turc
7;Balinais
8;Bengal
9;Bleu Russe
10;Bombay
11;British Shorthair
12;Burmese
13;Burmilla
14;California Spangled
15;Ceylan
16;Chartreux
17;Chausie
18;Cornish Rex
19;Cymric
20;Devon Rex
21;Donskoy
22;Européen
23;Exotic
24;German Rex
25;Havana Brown
26;Highland Lynx
27;Japanese Bobtail
28;Javanais
29;Korat
30;Kurilian Bobtail
31;LaPerm
32;Maine Coon
33;Manx
34;Mau Egyptien
35;Munchkin
36;Norvégien
37;Ocicat
38;Ojos Azules
39;Oriental
40;Persan
41;Peterbald
42;Pixie-Bob
43;Ragdoll
44;Sacré de Birmanie
45;Savannah
46;Scottish & Highland
47;Scottish Fold
48;Selkirk Rex
49;Siamois
50;Sibérien
51;Singapura
52;Skogcatt
53;Snowshoe
54;Sokoké
55;Somali
56;Sphynx
57;Thaï
58;Tiffany
59;Tonkinois
60;Toyger
61;Turc de Van
62;York Chocolat
